178 True value: 3.338 ; calculated value: 3.238; error: -2.998% 
179 True value: 5.115 ; calculated value: 4.894; error: -4.322% 
180 True value: 4.775 ; calculated value: 4.6; error: -3.662% 
181 True value: 4.201 ; calculated value: 4.014; error: -4.437% 
182 True value: 3.616 ; calculated value: 3.445; error: -4.712% 
183 True value: 2.877 ; calculated value: 2.79; error: -3.016% 
184 True value: 3.63 ; calculated value: 3.492; error: -3.796% 
185 True value: 4.882 ; calculated value: 4.623; error: -5.304% 
186 True value: 4.955 ; calculated value: 4.684; error: -5.485% 
187 True value: 5.78 ; calculated value: 5.473; error: -5.31% 
188 True value: 6.566 ; calculated value: nan; err or: nan% 
189 True value: 3.53 ; calculated value: 3.388; error: -4.034% 
190 True value: 3.438 ; calculated value: 3.313; error: -3.656% 
191 True value: 4.356 ; calculated value: 4.171; error: -4.261% 
192 True value: 3.69 ; calculated value: 3.575; error: -3.131% 
193 True value: 3.529 ; calculated value: 3.413; error: -3.265% 
194 True value: 2.323 ; calculated value: 2.23; error: -4.015% 
195 True value: 2.961 ; calculated value: 2.847; error: -3.849% 
196 True value: 4.41 ; calculated value: 4.246; error: -3.706% 
197 True value: 3.364 ; calculated value: 3.236; error: -3.812% 
198 True value: 3.476 ; calculated value: 3.357; error: -3.408% 
199 True value: 2.949 ; calculated value: 2.832; error: -3.959% 
200 True value: 3.037 ; calculated value: 2.938; error: -3.263% 
201 True value: 3.731 ; calculated value: 3.616; error: -3.078% 
202 True value: 2.923 ; calculated value: 2.821; error: -3.49% 
203 True value: 5.22 ; calculated value: 4.942; error: -5.323% 
204 True value: 4.41 ; calculated value: 4.239; error: -3.879% 
205 True value: 4.896 ; calculated value: 4.661; error: -4.808% 
206 True value: 3.206 ; calculated value: 3.06; error: -4.528% 
207 True value: 4.114 ; calculated value: nan; er ror: nan% 
208 True value: 2.9 ; calculated value: 2.743; error: -5.407% 
209 True value: 4.371 ; calculated value: 4.16; error: -4.831% 
210 True value: 3.444 ; calculated value: 3.312; error: -3.827% 
211 True value: 2.781 ; calculated value: 2.666; error: -4.117% 
212 True value: 6.26 ; calculated value: 5.872; error: -6.197% 
213 True value: 3.119 ; calculated value: 3.029; error: -2.883% 
214 True value: 2.738 ; calculated value: 2.649; error: -3.248% 
215 True value: 3.758 ; calculated value: 3.592; error: -4.412% 
216 True value: 2.283 ; calculated value: 2.211; error: -3.152% 
217 True value: 4.968 ; calculated value: 4.716; error: -5.091% 
218 True value: 4.411 ; calculated value: nan; e rror: nan% 
219 True value: 3.52 ; calculated value: 3.381; error: -3.949% 
220 True value: 3.856 ; calculated value: 3.687; error: -4.361% 
221 True value: 2.895 ; calculated value: 2.794; error: -3.503% 
222 True value: 5.064 ; calculated value: 4.793; error: -5.349% 
223 True value: 3.247 ; calculated value: 3.128; error: -3.676% 
224 True value: 3.429 ; calculated value: 3.301; error: -3.74% 
225 True value: 3.352 ; calculated value: 3.246; error: -3.147% 
226 True value: 3.943 ; calculated value: nan; err or: nan% 


Average=-3.9937016306983333%
